This	October 30, 1955	Last	Weeks
Week	Fiction	Week	On List
""			
1	MARJORIE MORNINGSTAR, by Herman Wouk. (Doubleday and Company, Inc.)	1	7
""			
2	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	2	33
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
3		3	14
""	Schuster.)		
""			
4	THE TONTINE, by Thomas B. Costain. (Doubleday.)	5	4
""			
5	SOMETHING OF VALUE, by Robert Ruark. (Doubleday and Co.)	4	26
""			
6	BONJOUR TRISTESSE, by Francoise Sagan. (E. P. Dutton and Co., Inc.)	6	33
""			
7	BAND OF ANGELS, by Robert Penn Warren. (Random House.)	7	9
""			
8	CONFESSIONS OF FELIX KRULL, by Thomas Mann. (Alfred A. Knopf.)	8	4
""			
9	THE SIXTH OF JUNE, by Lionel Shapiro. (Doubleday.)	9	10
""			
10	THE DEER PARK, by Norman Mailer. (G.P. Putnam's Sons.)	--	1
""			
11	HERITAGE, by Anthony West. (Random House.)	16	2
""			
12	THE FLOWER GIRLS, by Clemence Dane. (W. W. Norton and Company.)	13	17
""			
13	THESE LOVERS FLED AWAY, by Howard Spring. (Harper and Brothers.)	--	1
""			
14	GRANDFATHER STORIES, by Samuel Hopkins Adams. (Random House.)	14	12
""			
15	THE GREAT MAN, by Al Morgan. (E. P. Dutton and Co., Inc.)	10	6
""			
16	NO TIME FOR SERGEANTS, by Mac Hyman. (Random House, Inc.)	--	53
This	October 30, 1955	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	1	32
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
2		2	156
""	Inc.)		
""			
3	INSIDE AFRICA, by John Gunther. (Harper and Brothers.)	5	4
""			
4	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	3	32
""			
5	THE FAMILY OF MAN, by Edward Steichen. (Museum of Modern Art.)	4	21
""			
6	A MAN CALLED PETER, by Catherine Marshall. (McGraw-Hill Book Company.)	6	160
""			
7	WHY JOHNNY CAN'T READ, by Rudolf Franz Flesch. (Harper and Brothers.)	7	30
""			
""	NEVER PLEAD GUILTY, by John Wesley Noble and Bernard Averbuch. (Farrar,		
""	Straus and Cudahy.)		
""			
9	ONIONS IN THE STEW, by Betty MacDonald. (J. B. Lippincott Co.)	9	22
""			
""	THE NOTEBOOKS OF MAJOR THOMPSON, by Pierre Daninos. (Alfred A.		
10		12	4
""	Knopf.)		
""			
""	THE HOUSE ON NAUSET MARSH, by Wyman Richardson. (W. W. Norton and		
11		11	12
""	Company.)		
""			
12	HIGH SIERRA COUNTRY, by Oscar Lewis. (Duell, Sloan and Pearce.)	13	10
""			
""	THE AMERICAN WEST, by Lucius Beebe and Charles Clegg. (E. P. Dutton and		
13		--	1
""	Company, Inc.)		
""			
14	THE AFRICAN GIANT, by Stuart Cloete. (Houghton Mifflin.)	10	5
""			
15	ME AND KIT, by Guthrie McClintic. (Little, Brown and Company.)	--	1
""			
""	THE NEW YORKER 1950-1955 ALBUM, by New Yorker Magazine. (Harper and		
16		--	1
""	Brothers.)		
