This	November 17, 1957	Last	Weeks
Week	Fiction	Week	On List
""			
""	BY LOVE POSSESSED, by James Gould Cozzens. (Harcourt, Brace and		
""	Company.)		
""			
2	RALLY ROUND THE FLAG BOYS!, by Max Schulman. (Doubleday.)	2	12
""			
3	BELOW THE SALT, by Thomas B. Costain. (Doubleday and Company, Inc.)	4	6
""			
4	ATLAS SHRUGGED, by Ayn Rand. (Random House.)	5	6
""			
5	ON THE BEACH, by Nevil Shute. (William Morrow and Company.)	3	15
""			
6	THE WORLD OF SUZIE WONG, by Richard Mason. (World Publishing Co.)	7	15
""			
7	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	6	60
""			
8	REMEMBER ME TO GOD, by Myron S. Kaufmann. (Lippincott,)	8	8
""			
9	THE SOUND OF THUNDER, by Taylor Caldwell. (Doubleday.)	9	4
""			
10	NO DOWN PAYMENT, by John McPartland. (Simon and Schuster.)	10	6
""			
11	NOT BY BREAD ALONE, by Vladimir Dudintsev. ( E.P. Dutton and Co., Inc.)	--	1
""			
12	FAIROAKS, by Frank Yerby. (Dial Press.)	12	9
""			
13	THE WOMAN OF MY LIFE, by Ludwig Bemelmans. (Viking Press.)	14	2
""			
14	LETTER FROM PEKING, by Pearl S. Buck. (John Day Company.)	13	17
""			
15	WHEN THE BOUGH BREAKS, by Otis Carney. (Houghton Mifflin and Company.)	--	1
""			
16	COMPULSION, by Meyer Levin. (Simon and Schuster.)	16	53
This	November 17, 1957	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BARUCH: MY OWN STORY, by Bernard M. Baruch. (Henry Holt and Company.)	1	11
""			
2	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	2	25
""			
3	THE NEW CLASS, by Milovan Djilas. (Frederick A. Praeger.)	3	12
""			
""	"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHING."", by Robert"		
4		4	14
""	Paul Smith. (W.W. Norton and Company.)		
""			
""	THE AGE OF REVOLUTION, by Winston S. Churchill. (Dodd, Mead and		
5		5	4
""	Company.)		
""			
6	THE REFORMATION, by Will Durant. (Simon and Schuster.)	9	6
""			
7	SAN FRANCISCO BAY, by Harold Gilliam. (Doubleday.)	12	2
""			
8	STAY ALIVE ALL YOUR LIFE, by Norman Vincent Peale. (Prentice-Hall, Inc.)	6	33
""			
""	NUCLEAR WEAPONS AND FOREIGN POLICY, by Henry A. Kissinger. (Harper		
9		7	10
""	and Brothers.)		
""			
10	LEFTOVER LIFE TO KILL, by Caitlin Thomas. (Little, Brown and Company.)	--	2
""			
11	TO LIVE AGAIN, by Catherine Marshall. (McGraw Hill.)	14	2
""			
12	THE DAY CHRIST DIED, by Jim Bishop. (Harper and Brothers.)	8	26
""			
""	THE AMERICAN HERITAGE BOOK OF GREAT HISTORIC PLACES, by the		
13		--	2
""	editors of American Heritage. (American Heritage Publishing.)		
""			
14	THE INNOCENT AMBASSADORS, by Philip Wylie. (Rinehart and Company.)	10	27
""			
15	THE DOG WHO WOULDN'T BE, by Farley Mowat. (Little, Brown and Company)	11	10
""			
16	PARKINSON'S LAW, by C. Northcote Parkinson. (Houghton and Mifflin.)	--	1
