This	November 14, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	11
""			
2	MARY ANNE, by Daphne du Maurier.	2	22
""			
3	KATHERINE, by Anya Seton.	4	5
""			
4	NOT AS A STRANGER, by Morton Thompson.	3	43
""			
5	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	5	4
""			
6	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso.	14	2
""			
7	NO TIME FOR SERGEANTS, by Mac Hyman.	6	4
""			
8	THE ROYAL BOX, by Frances Parkinson Keyes.	7	21
""			
9	SWEET THURSDAY, by John Steinbeck.	8	21
""			
10	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	13	27
""			
11	MY BROTHER'S KEEPER, by Marcia Davenport.	--	1
""			
12	A FABLE, by William Faulkner.	9	13
""			
13	THE DOLLMAKER, by Harriette Arnow.	12	27
""			
14	THE FALL OF A TITAN, by Igor Gouzenko.	10	15
""			
15	THE LONG SHIPS, by Frans G. Bengtsson.	11	6
""			
16	WHAT DID IT MEAN?, by Angela Thirkell.	16	2
This	November 14, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	106
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	23
""			
3	CALL TO GREATNESS, by Adlai E. Stevenson.	4	10
""			
4	ABRAHAM LINCOLN, by Carl Sandburg.	3	5
""			
5	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	5	18
""			
""	MACARTHUR -- 1941-1951, by Major General Charles A. Willoughby and John		
6	Chamberlain.	8	4
""			
7	MELBOURNE, by David Cecil.	7	6
""			
8	A CHILD OF THE CENTURY, by Ben Hecht.	6	20
""			
9	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	9	35
""			
10	R.S.V.P. ELSA MAXWELL'S OWN STORY, by Elsa Maxwell.	--	1
""			
11	THE UNTOLD STORY OF DOUGLAS MACARTHUR, by Frazier Hunt.	--	1
""			
12	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	10	11
""			
13	THIS IS BELIEVE: 2, by Raymond Swing.	--	1
""			
14	REALITIES OF AMERICAN FOREIGN POLICY, by George F. Kennan.	--	2
""			
15	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	--	33
""			
16	POWER AND POLICY, by Thomas K. Finletter.	--	1
