This	March 21, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	9
""			
2	SAYONARA, by James A. Michener.	2	6
""			
3	LORD VANITY, by Samuel Shellabarger.	3	20
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	46
""			
5	TOMORROW!, by Philip Wylie.	5	7
""			
6	RAINBOW ON THE ROAD, by Esther Forbes.	6	5
""			
7	THE NIGHT OF THE HUNTER, by Davis Grubb.	13	2
""			
8	THE LADY OF ARLINGTON, by Harnett T. Kane.	7	23
""			
9	LOVE IS A BRIDGE, by Charles Bracelen Flood.	12	18
""			
10	THE FEMALE, by Paul Wellman.	10	23
""			
11	BEYOND THIS PLACE, by A.J. Cronin.	9	34
""			
12	BATTLE CRY, by Leon Uris.	11	45
""			
13	CRESS DELAHANTY, by Jessamyn West.	8	8
""			
14	AWAY ALL BOATS, by Kenneth Dodson.	--	1
""			
15	THE DOCTORS, by Andre Soubiran.	15	16
""			
16	THE DEATH OF KINGS, by Charles Wertenbaker.	14	3
This	March 21, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	72
""			
2	SECOND TREE FROM THE CORNER, by E.B. White.	2	7
""			
3	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	4	3
""			
4	THE CONQUEST OF EVEREST, by Sir John Hunt.	3	7
""			
5	LIFE IS WORTH LIVING, by Fulton J. Sheen.	5	20
""			
6	AMBASSADOR'S REPORT, by Chester Bowles.	7	9
""			
7	THE MAN WHO NEVER WAS, by Ewen Montagu.	6	5
""			
8	FIRE IN THE ASHES, by Theodore Harold White.	8	16
""			
9	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	9	21
""			
10	SEVEN YEARS IN TIBET, by Heinrich Harrer.	--	1
""			
11	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	16	3
""			
12	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	11	14
""			
13	A MAN CALLED PETER, by Catherine Marshall.	10	126
""			
14	HOMES OF THE BRAVE, by Terence Harold Robsjohn-Gibbings.	--	1
""			
15	THE TWENTY-YEAR REVOLUTION, by Chesly Manly.	--	1
""			
16	LELIA, by Andre Maurois.	--	24
