This	April 4, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	11
""			
2	SAYONARA, by James A. Michener.	2	8
""			
3	LORD VANITY, by Samuel Shellabarger.	3	22
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	48
""			
5	THE NIGHT OF THE HUNTER, by Davis Grubb.	9	4
""			
6	TOMORROW!, by Philip Wylie.	6	9
""			
7	AWAY ALL BOATS, by Kenneth Dodson.	7	3
""			
8	RAINBOW ON THE ROAD, by Esther Forbes.	8	7
""			
9	THE LADY OF ARLINGTON, by Harnett T. Kane.	5	25
""			
10	THE DESPERATE HOURS, by Joseph Hayes.	--	1
""			
11	LOVE IS A BRIDGE, by Charles Bracelen Flood.	10	20
""			
12	THE DEATH OF KINGS, by Charles Wertenbaker.	15	5
""			
13	CRESS DELAHANTY, by Jessamyn West.	14	10
""			
14	THE FEMALE, by Paul Wellman.	12	25
""			
15	BATTLE CRY, by Leon Uris.	13	47
""			
16	THE DOCTORS, by Andre Soubiran.	16	18
This	April 4, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	74
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	5
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	3	9
""			
4	THE CONQUEST OF EVEREST, by Sir John Hunt.	4	9
""			
5	LIFE IS WORTH LIVING, by Fulton J. Sheen.	5	22
""			
6	THE MAN WHO NEVER WAS, by Ewen Montagu.	6	7
""			
7	SEVEN YEARS IN TIBET, by Heinrich Harrer.	8	3
""			
8	AMBASSADOR'S REPORT, by Chester Bowles.	7	11
""			
9	FIRE IN THE ASHES, by Theodore Harold White.	9	18
""			
10	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	--	3
""			
11	A MAN CALLED PETER, by Catherine Marshall.	12	128
""			
12	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	13	2
""			
13	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	10	23
""			
14	THE TWENTY-YEAR REVOLUTION, by Chesly Manly.	14	3
""			
15	THE GREAT IRON SHIP, by James Dugan.	--	4
""			
16	A WRITER'S DIARY, by Virginia and Leonard Woolf.	--	1
