This	May 7, 1978	Last	Weeks
Week	Fiction	Week	On List
""			
1	BLOODLINE, by Sidney Sheldon. (Morrow, $9.95.) Love and high financial	1	13
""	intrigue on three continents.		
""			
2	THE HOLCROFT COVENANT, by Robert Ludlum. (Putnam's/Richard Marek,	2	5
""	$10.95.) Nazi scheme to found a Fourth Reich.		
""			
3	SCRUPLES, by Judith Krantz. (Crown, $10.) Woman's rise in the fashion world.	5	9
""			
4	THE THORN BIRDS, by Colleen McCullough. (Harper & Row, $9.95.) Australian	3	51
""	family saga.		
""			
5	THE HUMAN FACTOR, by Graham Greene. (Simon & Schuster, $9.95.) Spy	4	7
""	novel with the Greene touch.		
""			
6	THE SILMARILLION, by J.R.R. Tolkien. (Houghton Mifflin, $10.95.) Middle Earth	6	33
""	in pre-Hobbit days.		
""			
7	WHISTLE, by James Jones. (Delacorte, $10.95.) Final Volume of Jones's World	7	6
""	War II trilogy; honest and moving.		
""			
8	THE PLAGUE DOGS, by Richard Adams. (Knopf, $10.95.) Cops and	8	6
""	dogknappers in Southern California.		
""			
9	A STRANGER IS WATCHING, by Mary Higgins Clark. (Simon & Schuster, $8.95.)	9	6
""	Random killer at large in the city.		
""			
10	ILLUSIONS, by Richard Bach. (Delacorte/Eleanor Friede, $5.95.) Messiah	10	47
""	barnstorms Middle America.		
""			
11	GOODBYE CALIFORNIA, by Allistair MacLean. (Doubleday, $8.95.) Muslim plot	12	2
""	to heave the state into the sea.		
""			
12	THE WOMEN'S ROOM, by Marilyn French. (Summit Books, $10.95.) Woman's	11	22
""	rough road to liberation.		
""			
13	THE HONORABLE SCHOOLBOY, by John le Carré. (Knopf, $10.) Espionage in	14	31
""	Hong Kong.		
""			
14	THE BLACK MARBLE, by Joseph Wambaugh. (Delacorte, $9.95.) Cops and	--	18
""	dogknappers in Southern California.		
""			
15	DELTA OF VENUS, by Anais Nin. (Harcourt Brace Jovanovich, $10.) Elegant	--	36
""	erotica written for a wealthy patron.		
This	May 7, 1978	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE COMPLETE BOOK OF RUNNING, by James F. Fixx. (Random House, $10.)	1	24
""	For fun and health.		
""			
2	IF LIFE IS A BOWL OF CHERRIES -- WHAT AM I DOING IN THE PITS?  by	2	4
""	Erma Bombeck. (McGraw-Hill, $7.95.) More domestic drolleries.		
""			
3	MY MOTHER/MY SELF, by Nancy Friday. (Delacorte, $9.95.) A study of the	3	14
""	mother and daughter relationship.		
""			
4	THE ONLY INVESTMENT GUIDE YOU'LL EVER NEED, by Andrew Tobias.	9	2
""	(Harcourt Brace Jovanovich, $5.95.) Written with a sense of humor.		
""			
5	GNOMES, text by Wil Huygen, illustrated by Rien Poortvliet. (Harry N. Abrams,	4	23
""	$14.95.) Everything you wanted to know about the little people.		
""			
6	ADRIEN ARPEL'S THREE-WEEK CRASH MAKEOVER, SHAPEOVER BEAUTY	5	6
""	PROGRAM, by Adrien Arpel. (Antheneum, $11.95.) Advice from the head of an		
""	international cosmetics corporation.		
""			
7	THE AMITYVILLE HORROR, by Jay Anson. (Prentice-Hall, $7.95.) Haunted	8	27
""	house in suburbia.		
""			
8	ALL THINGS WISE AND WONDERFUL, by James Herriot. (St. Martin's Press,	7	36
""	$10.) More adventures of a Yorkshire vet.		
""			
9	THE ENDS OF POWER, by H.R. Halderman with Joseph DiMona. (Times Books,	6	9
""	$12.95.) Watergate, etc. by the former Presidential aide.		
""			
10	LOOKING OUT FOR NUMBER ONE, by Robert Ringer. (Cromwell, $9.95.) How	11	44
""	to get yours.		
""			
11	THE FINAL CONCLAVE, by Malachi Martin. (Stein & Day, $11.95.) Communists	10	4
""	will influence choice of the next Pope.		
""			
12	IN HIS IMAGE: The Cloning of a Man, by David M. Rorvik. (Lippincolt, $8.95.)	--	1
""	Wealthy man reproduces himself.		
""			
13	THE SECOND RING OF POWER, by Carlos Castaneda. (Simon & Schuster,	12	21
""	$9.95.) Sorceress tests Castaneda.		
""			
14	COMING INTO THE COUNTRY, by John McPhee. (Farrar, Straus & Giroux,	13	16
""	$10.95.) The last of the big country - Alaska.		
""			
15	DESIGNING YOUR FACE, by Way Bandy. (Random House, $8.95.) How to use	15	20
""	cosmetics.		
