This	June 9, 1996	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE RUNAWAY JURY, by John Grisham. (Doubleday, $26.95.) A woman in a	1	2
""	Mississippi town sues a tobacco company for causing her husband's death.		
""			
2	HOW STELLA GOT HER GROOVE BACK, by Terry McMillan. (Viking, $23.95.) A	2	4
""	divorced black woman finds romance on a Jamaican holiday.		
""			
3	THE TENTH INSIGHT, by James Redfield. (Warner, $19.95.) A journey through	3	5
""	the Appalachian Mountains provides answers to life's enigmas.		
""			
4	MOONLIGHT BECOMES YOU, by Mary Higgins Clark. (Simon & Schuster, $24.)	4	8
""	A fashion photographer investigates the mysterious death of a friend.		
""			
5	SUDDEN PREY, by John Sandford. (Putnam, $23.95.) Lucas Davenport and his	5	3
""	team of cops contend with a trio of robbers determined to kill them.		
""			
6	MALICE, by Danielle Steel. (Delacorte, $24.95.) A woman struggles to overcome	6	7
""	memories of assaults.		
""			
7	OH, THE PLACES YOU'LL GO! by Dr. Seuss. (Random House, $16.) Verse and	15	148
""	pictures.		
""			
8	I WAS AMELIA EARHART, by Jane Mendelsohn. (Knopf, $18.) The life of the	8	5
""	famous aviator who disappeared in the Pacific in 1937; a fictional memoir.		
""			
9	THE CELESTINE PROPHECY, by James Redfield. (Warner, $17.95.) An ancient	7	119
""	manuscript, found in Peru, provides insights into achieving a fulfilling life.		
""			
10	FALLING UP, by Shel Silverstein. (HarperCollins, $16.95.) Poems and drawings,	--	1
""	for children and grown-ups, celebrating strange characters and experiences.		
""			
11	HER OWN RULES, by Barbara Taylor Bradford. (HarperCollins, $24.) A woman	11	4
""	seeks the causes of her illness by revisiting her past.		
""			
12	PRIMARY COLORS, by Anonymous. (Random House, $24.) The progress of a	10	18
""	certain Southern governor and his wife on their way to the White House.		
""			
13	FLOATERS, by Joseph Wambaugh. (Bantam, $22.95.) San Diego harbor cops	--	1
""	contend with mayhem and murders on the eve of the America's Cup race.		
""			
14	RUINS, by Kevin J. Anderson. (Harper Prism, $22.) The F.B.I.'s X-Files team	--	1
""	investigates the disappearance of an archeologist in the Yucatan jungles.		
""			
15	NEANDERTHAL, by John Darnton. (Random House, $24.) The discovery in	13	6
""	northern Asia of a species of primitive protohumans that has existed for 40,000		
""	years.		
""			
16	TIMEPIECE, by Richard Paul Evans. (Simon & Schuster, $18.) By sharing grief	12	6
This	June 9, 1996	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BAD AS I WANNA BE, by Dennis Rodman with Tim Keown. (Delacorte, $22.95.)	1	4
""	The memoirs of the flamboyant basketball player.		
""			
2	THE DILBERT PRINCIPLE, by Scott Adams. (Harper Business, $20.) A satirical	2	6
""	look, in words and cartoons, at the current foibles of business and management.		
""			
3	IN CONTEMPT, by Christopher A. Darden with Jess Walter. (Regan Books/	3	10
""	HarperCollins, $26.) The life of a member of the O. J. Simpson prosecution team,		
""	and his view of the trial.		
""			
4	NO SHIRT. NO SHOES. . . . NO PROBLEM! by Jeff Foxworthy. (Hyperion,	14	2
""	$19.95.) Observations on life by the stand-up comedian from Georgia.		
""			
5	MIDNIGHT IN THE GARDEN OF GOOD AND EVIL, by John Berendt. (Random	4	110
""	House, $23.) The mysterious death of a young man in Savannah, Ga.		
""			
6	I LIVED TO TELL IT ALL, by George Jones with Tom Carter. (Villard, $23.) The	11	3
""	autobiography of the country singer.		
""			
7	UNDAUNTED COURAGE, by Stephen E. Ambrose. (Simon & Schuster, $27.50.)	6	14
""	The story of how Thomas Jefferson sponsored the exploration of the American		
""	West by Meriwether Lewis and William Clark.		
""			
8	EMOTIONAL INTELLIGENCE, by Daniel Goleman. (Bantam, $23.95.) Factors	7	36
""	other than I.Q. that contribute to a successful and happy life.		
""			
9	HITLER'S WILLING EXECUTIONERS, by Daniel Jonah Goldhagen. (Knopf, $30.)	10	8
""	A political scientist says ordinary Germans cooperated in conducting the		
""	Holocaust.		
""			
10	RUSH LIMBAUGH IS A BIG FAT IDIOT, by Al Franken. (Delacorte, $21.95.) A	5	19
""	television comedian's comments on the current political scene.		
""			
11	HOW COULD YOU DO THAT?! by Laura Schlessinger. (HarperCollins, $22.) Self-	8	18
""	indulgent morality, and ways to overcome it.		
""			
12	THE CLOISTER WALK, by Kathleen Norris. (Riverhead, $23.95.) A poet's	9	4
""	experiences at a Benedictine monastery in Minnesota.		
""			
13	BLOOD SPORT, by James B. Stewart. (Simon & Schuster, $25.) A journalist	13	11
""	reviews the Whitewater case and the roles of President and Mrs. Clinton.		
""			
14	THE RANTS, by Dennis Miller. (Doubleday, $21.95.) Monologues on current	12	9
""	topics by the television star and stand-up comedian.		
""			
15	THE RE-ENCHANTMENT OF EVERYDAY LIFE, by Thomas Moore.	--	1
""	(HarperCollins, $25.) How the application of spiritual values can enrich ordinary		
